"","file_path","size_Mb","file_name","location","recording_date_time","file_type","julian","year","gps_enabled","time_index","length_seconds","sample_rate","n_channels"
"38","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121107_190500_d.wav",345.6,"HGBC-BEIT-1_20121107_190500_d","HGBC-BEIT-1",2012-11-07 19:05:00,"wav",312,2012,NA,2,7200,24000,1
"39","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121108_060000_d.wav",345.6,"HGBC-BEIT-1_20121108_060000_d","HGBC-BEIT-1",2012-11-08 06:00:00,"wav",313,2012,NA,1,7200,24000,1
"40","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121108_190300_d.wav",345.6,"HGBC-BEIT-1_20121108_190300_d","HGBC-BEIT-1",2012-11-08 19:03:00,"wav",313,2012,NA,2,7200,24000,1
"41","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121109_060200_d.wav",345.6,"HGBC-BEIT-1_20121109_060200_d","HGBC-BEIT-1",2012-11-09 06:02:00,"wav",314,2012,NA,1,7200,24000,1
"42","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121109_190100_d.wav",345.6,"HGBC-BEIT-1_20121109_190100_d","HGBC-BEIT-1",2012-11-09 19:01:00,"wav",314,2012,NA,2,7200,24000,1
"43","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121110_060300_d.wav",345.6,"HGBC-BEIT-1_20121110_060300_d","HGBC-BEIT-1",2012-11-10 06:03:00,"wav",315,2012,NA,1,7200,24000,1
"44","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121110_190000_d.wav",345.6,"HGBC-BEIT-1_20121110_190000_d","HGBC-BEIT-1",2012-11-10 19:00:00,"wav",315,2012,NA,2,7200,24000,1
"45","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121111_060500_d.wav",345.6,"HGBC-BEIT-1_20121111_060500_d","HGBC-BEIT-1",2012-11-11 06:05:00,"wav",316,2012,NA,1,7200,24000,1
"46","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121111_185800_d.wav",345.6,"HGBC-BEIT-1_20121111_185800_d","HGBC-BEIT-1",2012-11-11 18:58:00,"wav",316,2012,NA,2,7200,24000,1
"47","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121112_060700_d.wav",345.6,"HGBC-BEIT-1_20121112_060700_d","HGBC-BEIT-1",2012-11-12 06:07:00,"wav",317,2012,NA,1,7200,24000,1
"48","Z:/BU-Contracts/Contracts-NP/GHNPR/NSWO/HGBC-BEIT-1/HGBC-BEIT-1_20121112_185600_d.wav",345.6,"HGBC-BEIT-1_20121112_185600_d","HGBC-BEIT-1",2012-11-12 18:56:00,"wav",317,2012,NA,2,7200,24000,1
